epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1143,1.82336,5.86592,1.42977,0.35426,0.54688,0.28256,0.12529,1.75348,4.45172,1.44987,0.00052,0.00052,0.00052
2,19.4255,1.74254,2.01722,1.39672,0.04099,0.46875,0.04664,0.02053,1.58306,18.5712,1.46162,0.00103901,0.00103901,0.00103901
3,26.2016,1.6913,1.9974,1.31864,0.00711,0.65625,0.00677,0.00284,2.05934,262.784,2.19933,0.00153664,0.00153664,0.00153664
4,31.4281,1.85674,2.04965,1.49495,0.01013,0.51562,0.00872,0.0031,2.21649,inf,2.43013,0.0018812,0.0018812,0.0018812
5,37.6524,1.70191,1.72994,1.41728,0.54906,0.60938,0.55743,0.28358,1.69404,3.9378,1.70106,0.0018416,0.0018416,0.0018416
6,43.2503,1.69902,1.46767,1.42256,0.46159,0.42872,0.32607,0.15697,1.89998,3.4243,1.71366,0.001802,0.001802,0.001802
7,48.3972,1.71888,1.34017,1.46866,0.76128,0.48438,0.56782,0.29617,1.79101,2.06255,1.60187,0.0017624,0.0017624,0.0017624
8,55.0357,1.749,1.23761,1.39541,0.60378,0.4524,0.38874,0.1512,2.11676,2.79137,1.71816,0.0017228,0.0017228,0.0017228
9,60.0943,1.55719,1.27736,1.40844,0.50559,0.40625,0.36665,0.18888,1.90609,2.28982,1.96603,0.0016832,0.0016832,0.0016832
10,66.2054,1.59737,1.26557,1.31949,0.04619,0.40625,0.02993,0.01307,1.98226,13.8697,1.63249,0.0016436,0.0016436,0.0016436
11,71.6996,1.5636,1.21311,1.35787,0.90465,0.59301,0.68966,0.37429,1.60064,2.0783,1.49337,0.001604,0.001604,0.001604
12,76.9327,1.58695,1.26332,1.36715,0.32346,0.48438,0.28094,0.14755,1.79816,2.19838,1.55931,0.0015644,0.0015644,0.0015644
13,83.5734,1.62392,1.21056,1.36435,0.64415,0.57812,0.56085,0.29399,1.66967,1.66105,1.47648,0.0015248,0.0015248,0.0015248
14,88.6786,1.6022,1.19913,1.37603,0.79581,0.64062,0.66958,0.34221,1.70829,1.45677,1.48857,0.0014852,0.0014852,0.0014852
15,95.0057,1.58332,1.20077,1.37618,0.66927,0.66407,0.68432,0.40853,1.53428,1.46139,1.40253,0.0014456,0.0014456,0.0014456
16,100.47,1.55342,1.15065,1.33215,0.7268,0.67188,0.67575,0.36972,1.65036,1.33506,1.49912,0.001406,0.001406,0.001406
17,105.712,1.54794,1.09643,1.31118,0.801,0.67188,0.78184,0.42898,1.5139,1.2059,1.31032,0.0013664,0.0013664,0.0013664
18,112.3,1.509,1.12418,1.28313,0.77773,0.6875,0.80413,0.43268,1.54288,1.15054,1.32115,0.0013268,0.0013268,0.0013268
19,117.602,1.50702,1.08457,1.23798,0.78633,0.64062,0.76156,0.41889,1.55638,1.34207,1.35941,0.0012872,0.0012872,0.0012872
20,124.325,1.47411,1.06991,1.28333,0.75913,0.76562,0.81929,0.44153,1.50537,1.23526,1.32123,0.0012476,0.0012476,0.0012476
21,129.79,1.43287,1.08251,1.27711,0.78438,0.73438,0.79796,0.47884,1.44657,1.03519,1.31951,0.001208,0.001208,0.001208
22,135.59,1.39729,0.95204,1.24741,0.90783,0.73438,0.84697,0.50959,1.47121,1.02195,1.31209,0.0011684,0.0011684,0.0011684
23,141.695,1.38309,0.96584,1.2532,0.91182,0.8079,0.86968,0.46608,1.59981,1.00571,1.37336,0.0011288,0.0011288,0.0011288
24,146.936,1.46687,0.94039,1.24272,0.82761,0.75,0.82522,0.4493,1.52222,1.10235,1.321,0.0010892,0.0010892,0.0010892
25,153.547,1.42614,0.96848,1.30595,0.84021,0.625,0.76858,0.4239,1.56235,1.12422,1.38198,0.0010496,0.0010496,0.0010496
26,158.851,1.39567,0.92981,1.26191,0.84452,0.67902,0.8062,0.44557,1.5448,1.04918,1.40577,0.00101,0.00101,0.00101
27,164.562,1.39584,0.90478,1.2271,0.80877,0.73438,0.77965,0.44269,1.56314,1.08237,1.39722,0.0009704,0.0009704,0.0009704
28,170.402,1.31091,0.90663,1.18738,0.81709,0.78125,0.85253,0.49026,1.48668,0.95386,1.31814,0.0009308,0.0009308,0.0009308
29,175.458,1.32903,0.89985,1.23035,0.88642,0.6875,0.84817,0.50519,1.44135,0.9702,1.29598,0.0008912,0.0008912,0.0008912
30,182.03,1.3653,0.9126,1.26498,0.92029,0.6875,0.8239,0.48749,1.47637,0.96561,1.3066,0.0008516,0.0008516,0.0008516
31,187.325,1.2817,0.85917,1.17201,0.65557,0.76562,0.77422,0.42505,1.61491,1.03796,1.42108,0.000812,0.000812,0.000812
32,193.409,1.2704,0.81667,1.16977,0.7212,0.71875,0.78818,0.41642,1.62067,1.04396,1.46561,0.0007724,0.0007724,0.0007724
33,199.076,1.26644,0.85443,1.16666,0.85274,0.67188,0.81001,0.46207,1.56842,0.99716,1.46536,0.0007328,0.0007328,0.0007328
34,204.155,1.23827,0.81189,1.17989,0.76192,0.71875,0.811,0.45706,1.54149,0.96921,1.41628,0.0006932,0.0006932,0.0006932
35,210.692,1.25243,0.81445,1.16292,0.8079,0.73438,0.81394,0.49006,1.47232,0.94616,1.32863,0.0006536,0.0006536,0.0006536
36,215.849,1.25234,0.74027,1.15494,0.78365,0.73438,0.80149,0.47635,1.46823,0.94652,1.33069,0.000614,0.000614,0.000614
37,221.801,1.15733,0.72915,1.11799,0.78314,0.79004,0.81536,0.4848,1.4245,0.92869,1.32892,0.0005744,0.0005744,0.0005744
38,227.537,1.15245,0.75271,1.09354,0.80552,0.77667,0.81771,0.47948,1.47456,0.91165,1.36428,0.0005348,0.0005348,0.0005348
39,232.68,1.19829,0.73348,1.15731,0.86759,0.78125,0.86191,0.48511,1.52545,0.87198,1.4217,0.0004952,0.0004952,0.0004952
40,239.367,1.24477,0.77338,1.14293,0.84424,0.8125,0.88777,0.4972,1.52701,0.8823,1.43579,0.0004556,0.0004556,0.0004556
41,245.486,1.17916,0.73451,1.16011,0.9063,0.75573,0.86107,0.49761,1.52129,0.89352,1.41148,0.000416,0.000416,0.000416
42,252.105,1.11433,0.66958,1.11838,0.91078,0.70312,0.82399,0.49625,1.48633,0.98229,1.39468,0.0003764,0.0003764,0.0003764
43,257.242,1.10685,0.64991,1.08739,0.81789,0.78125,0.85788,0.5006,1.4648,0.91889,1.41463,0.0003368,0.0003368,0.0003368
44,262.343,1.10189,0.65912,1.1,0.79207,0.85938,0.88515,0.48842,1.48074,0.86808,1.42747,0.0002972,0.0002972,0.0002972
45,268.67,1.07791,0.66079,1.09093,0.77675,0.84375,0.89374,0.49834,1.5062,0.84166,1.41852,0.0002576,0.0002576,0.0002576
46,273.758,1.09011,0.64485,1.11254,0.86692,0.79688,0.90444,0.5074,1.4832,0.80952,1.39839,0.000218,0.000218,0.000218
47,280.182,1.06262,0.6173,1.10345,0.80125,0.85938,0.90718,0.51357,1.4983,0.80524,1.39229,0.0001784,0.0001784,0.0001784
48,285.448,1.05232,0.62574,1.09257,0.85164,0.80727,0.89345,0.51361,1.5061,0.79994,1.38133,0.0001388,0.0001388,0.0001388
49,290.53,0.98209,0.58203,1.08431,0.83765,0.8125,0.88473,0.50866,1.48613,0.81208,1.37624,9.92e-05,9.92e-05,9.92e-05
50,297.008,1.01253,0.59598,1.09453,0.82436,0.80675,0.87259,0.50863,1.47889,0.8125,1.3748,5.96e-05,5.96e-05,5.96e-05
